EV=021167 F=10284 I=250231766 C=306257086 PC=E01F A=BF X=18 Y=98 DF=BE E0=29 E1=02 | E01F SPATIAL TEST | X=18 Y=98 0720=B0 0723=6E
EV=021168 F=10284 I=250231780 C=306257123 PC=E01F A=BF X=18 Y=9C DF=BE E0=29 E1=02 | E01F SPATIAL TEST | X=18 Y=9C 0720=B0 0723=6E
EV=021169 F=10284 I=250231794 C=306257160 PC=E01F A=C7 X=18 Y=A0 DF=BE E0=29 E1=02 | E01F SPATIAL TEST | X=18 Y=A0 0720=B0 0723=6E
EV=021170 F=10284 I=250231808 C=306257197 PC=E01F A=C7 X=18 Y=A4 DF=BE E0=29 E1=02 | E01F SPATIAL TEST | X=18 Y=A4 0720=B0 0723=6E
EV=021171 F=10284 I=250231837 C=306257276 PC=E01F A=B7 X=18 Y=A8 DF=BE E0=29 E1=02 | E01F SPATIAL TEST | X=18 Y=A8 0720=B0 0723=6E
EV=021172 F=10284 I=250231877 C=306257391 PC=E01F A=00 X=1C Y=00 DF=BE E0=29 E1=02 | E01F SPATIAL TEST | X=1C Y=00 0720=B0 0723=6E
EV=021173 F=10284 I=250231887 C=306257418 PC=E01F A=F0 X=1C Y=04 DF=BE E0=29 E1=02 | E01F SPATIAL TEST | X=1C Y=04 0720=B0 0723=6E
EV=021174 F=10284 I=250231897 C=306257445 PC=E01F A=F0 X=1C Y=08 DF=BE E0=29 E1=02 | E01F SPATIAL TEST | X=1C Y=08 0720=B0 0723=6E
EV=021175 F=10284 I=250231907 C=306257472 PC=E01F A=F0 X=1C Y=0C DF=BE E0=29 E1=02 | E01F SPATIAL TEST | X=1C Y=0C 0720=B0 0723=6E
EV=021176 F=10284 I=250231917 C=306257499 PC=E01F A=F0 X=1C Y=10 DF=BE E0=29 E1=02 | E01F SPATIAL TEST | X=1C Y=10 0720=B0 0723=6E
EV=021177 F=10284 I=250231927 C=306257526 PC=E01F A=F0 X=1C Y=14 DF=BE E0=29 E1=02 | E01F SPATIAL TEST | X=1C Y=14 0720=B0 0723=6E
EV=021178 F=10284 I=250231937 C=306257553 PC=E01F A=F0 X=1C Y=18 DF=BE E0=29 E1=02 | E01F SPATIAL TEST | X=1C Y=18 0720=B0 0723=6E
EV=021179 F=10284 I=250231947 C=306257580 PC=E01F A=F0 X=1C Y=1C DF=BE E0=29 E1=02 | E01F SPATIAL TEST | X=1C Y=1C 0720=B0 0723=6E
EV=021180 F=10284 I=250231957 C=306257607 PC=E01F A=F0 X=1C Y=20 DF=BE E0=29 E1=02 | E01F SPATIAL TEST | X=1C Y=20 0720=B0 0723=6E
EV=021181 F=10284 I=250231967 C=306257634 PC=E01F A=F0 X=1C Y=24 DF=BE E0=29 E1=02 | E01F SPATIAL TEST | X=1C Y=24 0720=B0 0723=6E
EV=021182 F=10284 I=250231977 C=306257661 PC=E01F A=F0 X=1C Y=28 DF=BE E0=29 E1=02 | E01F SPATIAL TEST | X=1C Y=28 0720=B0 0723=6E
EV=021183 F=10284 I=250231987 C=306257688 PC=E01F A=F0 X=1C Y=2C DF=BE E0=29 E1=02 | E01F SPATIAL TEST | X=1C Y=2C 0720=B0 0723=6E
EV=021184 F=10284 I=250231997 C=306257715 PC=E01F A=F0 X=1C Y=30 DF=BE E0=29 E1=02 | E01F SPATIAL TEST | X=1C Y=30 0720=B0 0723=6E
EV=021185 F=10284 I=250232007 C=306257742 PC=E01F A=F0 X=1C Y=34 DF=BE E0=29 E1=02 | E01F SPATIAL TEST | X=1C Y=34 0720=B0 0723=6E
EV=021186 F=10284 I=250232017 C=306257769 PC=E01F A=F0 X=1C Y=38 DF=BE E0=29 E1=02 | E01F SPATIAL TEST | X=1C Y=38 0720=B0 0723=6E
EV=021187 F=10284 I=250232027 C=306257796 PC=E01F A=F0 X=1C Y=3C DF=BE E0=29 E1=02 | E01F SPATIAL TEST | X=1C Y=3C 0720=B0 0723=6E
EV=021188 F=10284 I=250232037 C=306257823 PC=E01F A=F0 X=1C Y=40 DF=BE E0=29 E1=02 | E01F SPATIAL TEST | X=1C Y=40 0720=B0 0723=6E
EV=021189 F=10284 I=250232047 C=306257850 PC=E01F A=F0 X=1C Y=44 DF=BE E0=29 E1=02 | E01F SPATIAL TEST | X=1C Y=44 0720=B0 0723=6E
EV=021190 F=10284 I=250232057 C=306257877 PC=E01F A=F0 X=1C Y=48 DF=BE E0=29 E1=02 | E01F SPATIAL TEST | X=1C Y=48 0720=B0 0723=6E
EV=021191 F=10284 I=250232067 C=306257904 PC=E01F A=F0 X=1C Y=4C DF=BE E0=29 E1=02 | E01F SPATIAL TEST | X=1C Y=4C 0720=B0 0723=6E
EV=021192 F=10284 I=250232081 C=306257941 PC=E01F A=BF X=1C Y=50 DF=BE E0=29 E1=02 | E01F SPATIAL TEST | X=1C Y=50 0720=B0 0723=6E
EV=021193 F=10284 I=250232095 C=306257978 PC=E01F A=BF X=1C Y=54 DF=BE E0=29 E1=02 | E01F SPATIAL TEST | X=1C Y=54 0720=B0 0723=6E
EV=021194 F=10284 I=250232109 C=306258015 PC=E01F A=C7 X=1C Y=58 DF=BE E0=29 E1=02 | E01F SPATIAL TEST | X=1C Y=58 0720=B0 0723=6E
EV=021195 F=10284 I=250232123 C=306258052 PC=E01F A=C7 X=1C Y=5C DF=BE E0=29 E1=02 | E01F SPATIAL TEST | X=1C Y=5C 0720=B0 0723=6E
EV=021196 F=10284 I=250232152 C=306258131 PC=E01F A=E9 X=1C Y=60 DF=BE E0=29 E1=02 | E01F SPATIAL TEST | X=1C Y=60 0720=B0 0723=6E
EV=021197 F=10284 I=250232181 C=306258210 PC=E01F A=F1 X=1C Y=64 DF=BE E0=29 E1=02 | E01F SPATIAL TEST | X=1C Y=64 0720=B0 0723=6E
EV=021198 F=10284 I=250232191 C=306258237 PC=E01F A=F0 X=1C Y=68 DF=BE E0=29 E1=02 | E01F SPATIAL TEST | X=1C Y=68 0720=B0 0723=6E
EV=021199 F=10284 I=250232201 C=306258264 PC=E01F A=F0 X=1C Y=6C DF=BE E0=29 E1=02 | E01F SPATIAL TEST | X=1C Y=6C 0720=B0 0723=6E
EV=021200 F=10284 I=250232211 C=306258291 PC=E01F A=F0 X=1C Y=70 DF=BE E0=29 E1=02 | E01F SPATIAL TEST | X=1C Y=70 0720=B0 0723=6E
EV=021201 F=10284 I=250232221 C=306258318 PC=E01F A=F0 X=1C Y=74 DF=BE E0=29 E1=02 | E01F SPATIAL TEST | X=1C Y=74 0720=B0 0723=6E
EV=021202 F=10284 I=250232231 C=306258345 PC=E01F A=F0 X=1C Y=78 DF=BE E0=29 E1=02 | E01F SPATIAL TEST | X=1C Y=78 0720=B0 0723=6E
EV=021203 F=10284 I=250232241 C=306258372 PC=E01F A=F0 X=1C Y=7C DF=BE E0=29 E1=02 | E01F SPATIAL TEST | X=1C Y=7C 0720=B0 0723=6E
EV=021204 F=10284 I=250232251 C=306258399 PC=E01F A=F0 X=1C Y=80 DF=BE E0=29 E1=02 | E01F SPATIAL TEST | X=1C Y=80 0720=B0 0723=6E
EV=021205 F=10284 I=250232261 C=306258426 PC=E01F A=F0 X=1C Y=84 DF=BE E0=29 E1=02 | E01F SPATIAL TEST | X=1C Y=84 0720=B0 0723=6E
EV=021206 F=10284 I=250232271 C=306258453 PC=E01F A=F0 X=1C Y=88 DF=BE E0=29 E1=02 | E01F SPATIAL TEST | X=1C Y=88 0720=B0 0723=6E
EV=021207 F=10284 I=250232281 C=306258480 PC=E01F A=F0 X=1C Y=8C DF=BE E0=29 E1=02 | E01F SPATIAL TEST | X=1C Y=8C 0720=B0 0723=6E
EV=021208 F=10284 I=250232295 C=306258517 PC=E01F A=B7 X=1C Y=90 DF=BE E0=29 E1=02 | E01F SPATIAL TEST | X=1C Y=90 0720=B0 0723=6E
EV=021209 F=10284 I=250232309 C=306258554 PC=E01F A=B7 X=1C Y=94 DF=BE E0=29 E1=02 | E01F SPATIAL TEST | X=1C Y=94 0720=B0 0723=6E
EV=021210 F=10284 I=250232323 C=306258591 PC=E01F A=BF X=1C Y=98 DF=BE E0=29 E1=02 | E01F SPATIAL TEST | X=1C Y=98 0720=B0 0723=6E
EV=021211 F=10284 I=250232337 C=306258628 PC=E01F A=BF X=1C Y=9C DF=BE E0=29 E1=02 | E01F SPATIAL TEST | X=1C Y=9C 0720=B0 0723=6E
EV=021212 F=10284 I=250232351 C=306258665 PC=E01F A=C7 X=1C Y=A0 DF=BE E0=29 E1=02 | E01F SPATIAL TEST | X=1C Y=A0 0720=B0 0723=6E
EV=021213 F=10284 I=250232365 C=306258702 PC=E01F A=C7 X=1C Y=A4 DF=BE E0=29 E1=02 | E01F SPATIAL TEST | X=1C Y=A4 0720=B0 0723=6E
EV=021214 F=10284 I=250232394 C=306258781 PC=E01F A=B7 X=1C Y=A8 DF=BE E0=29 E1=02 | E01F SPATIAL TEST | X=1C Y=A8 0720=B0 0723=6E
