FCEUX 2.6.6 - Trace Log File
A:E0 X:20 Y:00 S:B5           $C1F1: B1 53     LDA ($53),Y @ $0460 = #$5A
A:5A X:20 Y:00 S:B5           $C1F3: 8D 07 20  STA $2007 = #$00
A:5A X:20 Y:00 S:B5           $C1F6: C8        INY
A:5A X:20 Y:01 S:B5           $C1F7: CA        DEX
A:5A X:1F Y:01 S:B5           $C1F8: D0 F7     BNE $C1F1
A:5A X:1F Y:01 S:B5           $C1F1: B1 53     LDA ($53),Y @ $0461 = #$59
A:59 X:1F Y:01 S:B5           $C1F3: 8D 07 20  STA $2007 = #$00
A:59 X:1F Y:01 S:B5           $C1F6: C8        INY
A:59 X:1F Y:02 S:B5           $C1F7: CA        DEX
A:59 X:1E Y:02 S:B5           $C1F8: D0 F7     BNE $C1F1
A:59 X:1E Y:02 S:B5           $C1F1: B1 53     LDA ($53),Y @ $0462 = #$56
A:56 X:1E Y:02 S:B5           $C1F3: 8D 07 20  STA $2007 = #$00
A:56 X:1E Y:02 S:B5           $C1F6: C8        INY
A:56 X:1E Y:03 S:B5           $C1F7: CA        DEX
A:56 X:1D Y:03 S:B5           $C1F8: D0 F7     BNE $C1F1
A:56 X:1D Y:03 S:B5           $C1F1: B1 53     LDA ($53),Y @ $0463 = #$56
A:56 X:1D Y:03 S:B5           $C1F3: 8D 07 20  STA $2007 = #$00
A:56 X:1D Y:03 S:B5           $C1F6: C8        INY
A:56 X:1D Y:04 S:B5           $C1F7: CA        DEX
A:56 X:1C Y:04 S:B5           $C1F8: D0 F7     BNE $C1F1
A:56 X:1C Y:04 S:B5           $C1F1: B1 53     LDA ($53),Y @ $0464 = #$59
A:59 X:1C Y:04 S:B5           $C1F3: 8D 07 20  STA $2007 = #$00
A:59 X:1C Y:04 S:B5           $C1F6: C8        INY
A:59 X:1C Y:05 S:B5           $C1F7: CA        DEX
A:59 X:1B Y:05 S:B5           $C1F8: D0 F7     BNE $C1F1
A:59 X:1B Y:05 S:B5           $C1F1: B1 53     LDA ($53),Y @ $0465 = #$5A
A:5A X:1B Y:05 S:B5           $C1F3: 8D 07 20  STA $2007 = #$00
A:5A X:1B Y:05 S:B5           $C1F6: C8        INY
A:5A X:1B Y:06 S:B5           $C1F7: CA        DEX
A:5A X:1A Y:06 S:B5           $C1F8: D0 F7     BNE $C1F1
A:5A X:1A Y:06 S:B5           $C1F1: B1 53     LDA ($53),Y @ $0466 = #$56
A:56 X:1A Y:06 S:B5           $C1F3: 8D 07 20  STA $2007 = #$00
A:56 X:1A Y:06 S:B5           $C1F6: C8        INY
A:56 X:1A Y:07 S:B5           $C1F7: CA        DEX
A:56 X:19 Y:07 S:B5           $C1F8: D0 F7     BNE $C1F1
A:56 X:19 Y:07 S:B5           $C1F1: B1 53     LDA ($53),Y @ $0467 = #$5A
A:5A X:19 Y:07 S:B5           $C1F3: 8D 07 20  STA $2007 = #$00
A:5A X:19 Y:07 S:B5           $C1F6: C8        INY
A:5A X:19 Y:08 S:B5           $C1F7: CA        DEX
A:5A X:18 Y:08 S:B5           $C1F8: D0 F7     BNE $C1F1
A:5A X:18 Y:08 S:B5           $C1F1: B1 53     LDA ($53),Y @ $0468 = #$55
A:55 X:18 Y:08 S:B5           $C1F3: 8D 07 20  STA $2007 = #$00
A:55 X:18 Y:08 S:B5           $C1F6: C8        INY
A:55 X:18 Y:09 S:B5           $C1F7: CA        DEX
A:55 X:17 Y:09 S:B5           $C1F8: D0 F7     BNE $C1F1
A:55 X:17 Y:09 S:B5           $C1F1: B1 53     LDA ($53),Y @ $0469 = #$55
A:55 X:17 Y:09 S:B5           $C1F3: 8D 07 20  STA $2007 = #$00
A:55 X:17 Y:09 S:B5           $C1F6: C8        INY
A:55 X:17 Y:0A S:B5           $C1F7: CA        DEX
A:55 X:16 Y:0A S:B5           $C1F8: D0 F7     BNE $C1F1
A:55 X:16 Y:0A S:B5           $C1F1: B1 53     LDA ($53),Y @ $046A = #$55
A:55 X:16 Y:0A S:B5           $C1F3: 8D 07 20  STA $2007 = #$00
A:55 X:16 Y:0A S:B5           $C1F6: C8        INY
A:55 X:16 Y:0B S:B5           $C1F7: CA        DEX
A:55 X:15 Y:0B S:B5           $C1F8: D0 F7     BNE $C1F1
A:55 X:15 Y:0B S:B5           $C1F1: B1 53     LDA ($53),Y @ $046B = #$55
A:55 X:15 Y:0B S:B5           $C1F3: 8D 07 20  STA $2007 = #$00
A:55 X:15 Y:0B S:B5           $C1F6: C8        INY
A:55 X:15 Y:0C S:B5           $C1F7: CA        DEX
A:55 X:14 Y:0C S:B5           $C1F8: D0 F7     BNE $C1F1
A:55 X:14 Y:0C S:B5           $C1F1: B1 53     LDA ($53),Y @ $046C = #$55
A:55 X:14 Y:0C S:B5           $C1F3: 8D 07 20  STA $2007 = #$00
A:55 X:14 Y:0C S:B5           $C1F6: C8        INY
A:55 X:14 Y:0D S:B5           $C1F7: CA        DEX
A:55 X:13 Y:0D S:B5           $C1F8: D0 F7     BNE $C1F1
A:55 X:13 Y:0D S:B5           $C1F1: B1 53     LDA ($53),Y @ $046D = #$55
A:55 X:13 Y:0D S:B5           $C1F3: 8D 07 20  STA $2007 = #$00
A:55 X:13 Y:0D S:B5           $C1F6: C8        INY
A:55 X:13 Y:0E S:B5           $C1F7: CA        DEX
A:55 X:12 Y:0E S:B5           $C1F8: D0 F7     BNE $C1F1
A:55 X:12 Y:0E S:B5           $C1F1: B1 53     LDA ($53),Y @ $046E = #$55
A:55 X:12 Y:0E S:B5           $C1F3: 8D 07 20  STA $2007 = #$00
A:55 X:12 Y:0E S:B5           $C1F6: C8        INY
A:55 X:12 Y:0F S:B5           $C1F7: CA        DEX
A:55 X:11 Y:0F S:B5           $C1F8: D0 F7     BNE $C1F1
