============================================================
Dr. Jekyll and Mr. Hyde RNG / Spawn Investigation v4
FCEUX Lua 5.1 compatible
============================================================
B14F is the primary construction marker.
AEEA is NOT used as a spawn counter.
DF/E0/E1 writes are logged directly.
B14F caller is reconstructed from the 6502 stack.
C726 caller is reconstructed from the 6502 stack.
E660/C2DA state is kept separate from C726.
C300 records the actual indirect C2DA target.
B19D records final 8-record state.
============================================================
EV=000001 F=11275 I=258505607 C=335753620 PC=C535 A=00 X=80 Y=00 DF=D1 E0=34 E1=B7 | C535 RNG ROUTINE | DF=D1 E0=34 E1=B7
EV=000033 F=11275 I=258510740 C=335771788 PC=E01F A=F0 X=04 Y=6C DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=04 Y=6C 0720=B0 0723=80
EV=000034 F=11275 I=258510750 C=335771815 PC=E01F A=F0 X=04 Y=70 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=04 Y=70 0720=B0 0723=80
EV=000035 F=11275 I=258510760 C=335771842 PC=E01F A=F0 X=04 Y=74 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=04 Y=74 0720=B0 0723=80
EV=000036 F=11275 I=258510770 C=335771869 PC=E01F A=F0 X=04 Y=78 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=04 Y=78 0720=B0 0723=80
EV=000037 F=11275 I=258510780 C=335771896 PC=E01F A=F0 X=04 Y=7C DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=04 Y=7C 0720=B0 0723=80
EV=000038 F=11275 I=258510790 C=335771923 PC=E01F A=F0 X=04 Y=80 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=04 Y=80 0720=B0 0723=80
EV=000039 F=11275 I=258510800 C=335771950 PC=E01F A=F0 X=04 Y=84 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=04 Y=84 0720=B0 0723=80
EV=000040 F=11275 I=258510810 C=335771977 PC=E01F A=F0 X=04 Y=88 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=04 Y=88 0720=B0 0723=80
EV=000041 F=11275 I=258510820 C=335772004 PC=E01F A=F0 X=04 Y=8C DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=04 Y=8C 0720=B0 0723=80
EV=000042 F=11275 I=258510830 C=335772031 PC=E01F A=F0 X=04 Y=90 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=04 Y=90 0720=B0 0723=80
EV=000043 F=11275 I=258510840 C=335772058 PC=E01F A=F0 X=04 Y=94 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=04 Y=94 0720=B0 0723=80
EV=000044 F=11275 I=258510850 C=335772085 PC=E01F A=F0 X=04 Y=98 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=04 Y=98 0720=B0 0723=80
EV=000045 F=11275 I=258510860 C=335772112 PC=E01F A=F0 X=04 Y=9C DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=04 Y=9C 0720=B0 0723=80
EV=000046 F=11275 I=258510870 C=335772139 PC=E01F A=F0 X=04 Y=A0 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=04 Y=A0 0720=B0 0723=80
EV=000047 F=11275 I=258510880 C=335772166 PC=E01F A=F0 X=04 Y=A4 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=04 Y=A4 0720=B0 0723=80
EV=000048 F=11275 I=258510890 C=335772193 PC=E01F A=F0 X=04 Y=A8 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=04 Y=A8 0720=B0 0723=80
EV=000049 F=11275 I=258510911 C=335772256 PC=E01F A=00 X=0C Y=00 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=0C Y=00 0720=B0 0723=80
EV=000050 F=11275 I=258510921 C=335772283 PC=E01F A=F0 X=0C Y=04 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=0C Y=04 0720=B0 0723=80
EV=000051 F=11275 I=258510931 C=335772310 PC=E01F A=F0 X=0C Y=08 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=0C Y=08 0720=B0 0723=80
EV=000052 F=11275 I=258510941 C=335772337 PC=E01F A=F0 X=0C Y=0C DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=0C Y=0C 0720=B0 0723=80
EV=000053 F=11275 I=258510951 C=335772364 PC=E01F A=F0 X=0C Y=10 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=0C Y=10 0720=B0 0723=80
EV=000054 F=11275 I=258510961 C=335772391 PC=E01F A=F0 X=0C Y=14 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=0C Y=14 0720=B0 0723=80
EV=000055 F=11275 I=258510971 C=335772418 PC=E01F A=F0 X=0C Y=18 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=0C Y=18 0720=B0 0723=80
EV=000056 F=11275 I=258510981 C=335772445 PC=E01F A=F0 X=0C Y=1C DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=0C Y=1C 0720=B0 0723=80
EV=000057 F=11275 I=258511000 C=335772496 PC=E01F A=C1 X=0C Y=20 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=0C Y=20 0720=B0 0723=80
EV=000058 F=11275 I=258511010 C=335772523 PC=E01F A=F0 X=0C Y=24 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=0C Y=24 0720=B0 0723=80
EV=000059 F=11275 I=258511020 C=335772550 PC=E01F A=F0 X=0C Y=28 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=0C Y=28 0720=B0 0723=80
EV=000060 F=11275 I=258511030 C=335772577 PC=E01F A=F0 X=0C Y=2C DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=0C Y=2C 0720=B0 0723=80
EV=000061 F=11275 I=258511040 C=335772604 PC=E01F A=F0 X=0C Y=30 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=0C Y=30 0720=B0 0723=80
EV=000062 F=11275 I=258511050 C=335772631 PC=E01F A=F0 X=0C Y=34 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=0C Y=34 0720=B0 0723=80
EV=000063 F=11275 I=258511060 C=335772658 PC=E01F A=F0 X=0C Y=38 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=0C Y=38 0720=B0 0723=80
EV=000064 F=11275 I=258511070 C=335772685 PC=E01F A=F0 X=0C Y=3C DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=0C Y=3C 0720=B0 0723=80
EV=000065 F=11275 I=258511080 C=335772712 PC=E01F A=F0 X=0C Y=40 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=0C Y=40 0720=B0 0723=80
EV=000066 F=11275 I=258511090 C=335772739 PC=E01F A=F0 X=0C Y=44 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=0C Y=44 0720=B0 0723=80
EV=000067 F=11275 I=258511100 C=335772766 PC=E01F A=F0 X=0C Y=48 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=0C Y=48 0720=B0 0723=80
EV=000068 F=11275 I=258511110 C=335772793 PC=E01F A=F0 X=0C Y=4C DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=0C Y=4C 0720=B0 0723=80
EV=000069 F=11275 I=258511120 C=335772820 PC=E01F A=F0 X=0C Y=50 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=0C Y=50 0720=B0 0723=80
EV=000070 F=11275 I=258511130 C=335772847 PC=E01F A=F0 X=0C Y=54 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=0C Y=54 0720=B0 0723=80
EV=000071 F=11275 I=258511140 C=335772874 PC=E01F A=F0 X=0C Y=58 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=0C Y=58 0720=B0 0723=80
EV=000072 F=11275 I=258511150 C=335772901 PC=E01F A=F0 X=0C Y=5C DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=0C Y=5C 0720=B0 0723=80
EV=000073 F=11275 I=258511160 C=335772928 PC=E01F A=F0 X=0C Y=60 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=0C Y=60 0720=B0 0723=80
EV=000074 F=11275 I=258511170 C=335772955 PC=E01F A=F0 X=0C Y=64 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=0C Y=64 0720=B0 0723=80
EV=000075 F=11275 I=258511180 C=335772982 PC=E01F A=F0 X=0C Y=68 DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=0C Y=68 0720=B0 0723=80
EV=000076 F=11275 I=258511190 C=335773009 PC=E01F A=F0 X=0C Y=6C DF=CF E0=FC E1=B8 | E01F SPATIAL TEST | X=0C Y=6C 0720=B0 0723=80
