FCEUX 2.5.0 - Trace Log File
A:00 X:08 Y:BF S:EF                 $D164: F0 08     BEQ $D16E
A:00 X:08 Y:BF S:EF                 $D16E: AD 99 04  LDA $0499 = #$00
A:00 X:08 Y:BF S:EF                 $D171: F0 08     BEQ $D17B
A:00 X:08 Y:BF S:EF                 $D17B: AD 9A 04  LDA $049A = #$00
A:00 X:08 Y:BF S:EF                 $D17E: F0 08     BEQ $D188
A:00 X:08 Y:BF S:EF                 $D188: AD A1 04  LDA $04A1 = #$00
A:00 X:08 Y:BF S:EF                 $D18B: F0 08     BEQ $D195
A:00 X:08 Y:BF S:EF                 $D195: AD 5E 03  LDA $035E = #$00
A:00 X:08 Y:BF S:EF                 $D198: F0 08     BEQ $D1A2
A:00 X:08 Y:BF S:EF                 $D1A2: 4C B4 D1  JMP $D1B4
A:00 X:08 Y:BF S:EF                 $D1B4: 20 38 D6  JSR $D638
A:00 X:08 Y:BF S:ED                   $D638: AD 02 20  LDA $2002 = #$40
A:40 X:08 Y:BF S:ED                   $D63B: A5 23     LDA $23 = #$90
A:90 X:08 Y:BF S:ED                   $D63D: 29 FC     AND #$FC
A:90 X:08 Y:BF S:ED                   $D63F: 85 23     STA $23 = #$90
A:90 X:08 Y:BF S:ED                   $D641: 8D 00 20  STA $2000 = #$90
A:90 X:08 Y:BF S:ED                   $D644: A9 00     LDA #$00
A:00 X:08 Y:BF S:ED                   $D646: 8D 05 20  STA $2005 = #$06
A:00 X:08 Y:BF S:ED                   $D649: 4C 72 D6  JMP $D672
A:00 X:08 Y:BF S:ED                   $D672: AD 8B 04  LDA $048B = #$00
A:00 X:08 Y:BF S:ED                   $D675: C9 02     CMP #$02
A:00 X:08 Y:BF S:ED                   $D677: B0 06     BCS $D67F
A:00 X:08 Y:BF S:ED                   $D679: A9 00     LDA #$00
A:00 X:08 Y:BF S:ED                   $D67B: 8D 05 20  STA $2005 = #$00
A:00 X:08 Y:BF S:ED                   $D67E: 60        RTS (from $D638) ----------------------------
A:00 X:08 Y:BF S:EF                 $D1B7: 20 4C D6  JSR $D64C
A:00 X:08 Y:BF S:ED                   $D64C: A5 AB     LDA $AB = #$01
A:01 X:08 Y:BF S:ED                   $D64E: D0 01     BNE $D651
A:01 X:08 Y:BF S:ED                   $D651: AD 02 20  LDA $2002 = #$40
A:40 X:08 Y:BF S:ED                   $D654: 2C DE FF  BIT $FFDE = #$40
A:40 X:08 Y:BF S:ED                   $D657: D0 F8     BNE $D651
A:40 X:08 Y:BF S:ED                   $D651: AD 02 20  LDA $2002 = #$40
A:40 X:08 Y:BF S:ED                   $D654: 2C DE FF  BIT $FFDE = #$40
A:40 X:08 Y:BF S:ED                   $D657: D0 F8     BNE $D651
A:40 X:08 Y:BF S:ED                   $D651: AD 02 20  LDA $2002 = #$40
A:40 X:08 Y:BF S:ED                   $D654: 2C DE FF  BIT $FFDE = #$40
A:40 X:08 Y:BF S:ED                   $D657: D0 F8     BNE $D651
A:40 X:08 Y:BF S:ED                   $D651: AD 02 20  LDA $2002 = #$40
A:40 X:08 Y:BF S:ED                   $D654: 2C DE FF  BIT $FFDE = #$40
A:40 X:08 Y:BF S:ED                   $D657: D0 F8     BNE $D651
A:40 X:08 Y:BF S:ED                   $D651: AD 02 20  LDA $2002 = #$40
A:40 X:08 Y:BF S:ED                   $D654: 2C DE FF  BIT $FFDE = #$40
A:40 X:08 Y:BF S:ED                   $D657: D0 F8     BNE $D651
