type,frame,pc,input,DF,E0,E1,DF_bit0,DF_low2,DF_low3,E0_shift4_low3,rng_calls,rng_gap,max_rng_gap,0428,042D,048B,queue_slot,queue_addr,queue_value,c726_total,b14f_total,b14f_snapshot
C726,1263,C726,-,B0,EE,C1,0,0,0,6,1,1,1,00,00,00,C726,,,19,0,
OBJECT,1263,E022,-,B0,EE,C1,0,0,0,6,1,1,1,00,00,00,39,$0227,26,19,0,
FRAME,1263,E022,-,B0,EE,C1,0,0,0,6,1,1,1,00,00,00,,,,,19,0,
RNG,1264,C535,-,B0,EE,C1,0,0,0,6,1,1,1,00,00,00,C535,,,19,0,
C726,1264,C726,-,80,B7,C2,0,0,0,3,1,1,1,00,00,00,C726,,,20,0,
C726,1264,C726,-,80,B7,C2,0,0,0,3,1,1,1,00,00,00,C726,,,21,0,
C726,1264,C726,-,80,B7,C2,0,0,0,3,1,1,1,00,00,00,C726,,,22,0,
C726,1264,C726,-,80,B7,C2,0,0,0,3,1,1,1,00,00,00,C726,,,23,0,
C726,1264,C726,-,80,B7,C2,0,0,0,3,1,1,1,00,00,00,C726,,,24,0,
C726,1264,C726,-,80,B7,C2,0,0,0,3,1,1,1,00,00,00,C726,,,25,0,
OBJECT,1264,C74C,-,80,B7,C2,0,0,0,3,1,1,1,00,00,00,40,$0228,5E,25,0,
OBJECT,1264,C74C,-,80,B7,C2,0,0,0,3,1,1,1,00,00,00,41,$0229,01,25,0,
OBJECT,1264,C74C,-,80,B7,C2,0,0,0,3,1,1,1,00,00,00,42,$022A,4B,25,0,
OBJECT,1264,C74C,-,80,B7,C2,0,0,0,3,1,1,1,00,00,00,43,$022B,48,25,0,
OBJECT,1264,C74C,-,80,B7,C2,0,0,0,3,1,1,1,00,00,00,44,$022C,46,25,0,
OBJECT,1264,C74C,-,80,B7,C2,0,0,0,3,1,1,1,00,00,00,45,$022D,09,25,0,
FRAME,1264,C74C,-,80,B7,C2,0,0,0,3,1,1,1,00,00,00,,,,,25,0,
