FCEUX 2.5.0 - Trace Log File
f1591   A:01 X:07 Y:90 S:F3 P:NvUbdIzc             $07:C371: B5 00     LDA $00,X @ $0007 = #$85
f1591   A:85 X:07 Y:90 S:F3 P:NvUbdIzc             $07:C373: 95 0D     STA $0D,X @ $0014 = #$85
f1591   A:85 X:07 Y:90 S:F3 P:NvUbdIzc             $07:C375: E8        INX
f1591   A:85 X:08 Y:90 S:F3 P:nvUbdIzc             $07:C376: E0 08     CPX #$08
f1591   A:85 X:08 Y:90 S:F3 P:nvUbdIZC             $07:C378: D0 F7     BNE $C371
f1591   A:85 X:08 Y:90 S:F3 P:nvUbdIZC             $07:C37A: 60        RTS (from $C36F) ----------------------------
f1591   A:85 X:08 Y:90 S:F5 P:nvUbdIZC           $07:D127: AD AB 02  LDA $02AB = #$01
f1591   A:01 X:08 Y:90 S:F5 P:nvUbdIzC           $07:D12A: F0 03     BEQ $D12F
f1591   A:01 X:08 Y:90 S:F5 P:nvUbdIzC           $07:D12C: 20 E9 D5  JSR $D5E9
f1591   A:01 X:08 Y:90 S:F3 P:nvUbdIzC             $07:D5E9: AD 02 20  LDA $2002 = #$50
f1591   A:50 X:08 Y:90 S:F3 P:nvUbdIzC             $07:D5EC: A5 6E     LDA $6E = #$00
f1591   A:00 X:08 Y:90 S:F3 P:nvUbdIZC             $07:D5EE: D0 01     BNE $D5F1
f1591   A:00 X:08 Y:90 S:F3 P:nvUbdIZC             $07:D5F0: 60        RTS (from $D5E9) ----------------------------
f1591   A:00 X:08 Y:90 S:F5 P:nvUbdIZC           $07:D12F: AD 7A 03  LDA $037A = #$00
f1591   A:00 X:08 Y:90 S:F5 P:nvUbdIZC           $07:D132: F0 03     BEQ $D137
f1591   A:00 X:08 Y:90 S:F5 P:nvUbdIZC           $07:D137: AD 99 03  LDA $0399 = #$00
f1591   A:00 X:08 Y:90 S:F5 P:nvUbdIZC           $07:D13A: F0 03     BEQ $D13F
f1591   A:00 X:08 Y:90 S:F5 P:nvUbdIZC           $07:D13F: AD B3 03  LDA $03B3 = #$00
f1591   A:00 X:08 Y:90 S:F5 P:nvUbdIZC           $07:D142: F0 03     BEQ $D147
f1591   A:00 X:08 Y:90 S:F5 P:nvUbdIZC           $07:D147: AD 59 03  LDA $0359 = #$00
f1591   A:00 X:08 Y:90 S:F5 P:nvUbdIZC           $07:D14A: F0 08     BEQ $D154
f1591   A:00 X:08 Y:90 S:F5 P:nvUbdIZC           $07:D154: AD F6 02  LDA $02F6 = #$00
f1591   A:00 X:08 Y:90 S:F5 P:nvUbdIZC           $07:D157: F0 08     BEQ $D161
f1591   A:00 X:08 Y:90 S:F5 P:nvUbdIZC           $07:D161: AD 98 04  LDA $0498 = #$00
f1591   A:00 X:08 Y:90 S:F5 P:nvUbdIZC           $07:D164: F0 08     BEQ $D16E
f1591   A:00 X:08 Y:90 S:F5 P:nvUbdIZC           $07:D16E: AD 99 04  LDA $0499 = #$00
f1591   A:00 X:08 Y:90 S:F5 P:nvUbdIZC           $07:D171: F0 08     BEQ $D17B
f1591   A:00 X:08 Y:90 S:F5 P:nvUbdIZC           $07:D17B: AD 9A 04  LDA $049A = #$00
f1591   A:00 X:08 Y:90 S:F5 P:nvUbdIZC           $07:D17E: F0 08     BEQ $D188
f1591   A:00 X:08 Y:90 S:F5 P:nvUbdIZC           $07:D188: AD A1 04  LDA $04A1 = #$00
f1591   A:00 X:08 Y:90 S:F5 P:nvUbdIZC           $07:D18B: F0 08     BEQ $D195
f1591   A:00 X:08 Y:90 S:F5 P:nvUbdIZC           $07:D195: AD 5E 03  LDA $035E = #$00
f1591   A:00 X:08 Y:90 S:F5 P:nvUbdIZC           $07:D198: F0 08     BEQ $D1A2
f1591   A:00 X:08 Y:90 S:F5 P:nvUbdIZC           $07:D1A2: 4C B4 D1  JMP $D1B4
